PREFIXO: ;3D-009
NOME DO POSTO: ;BUENOPOLIS
MUNICÍPIO: ;MORUNGABA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.950,00
LATITUDE: ;22°51'02"
LONGITUDE: ;46°46'47"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  09/1935;16,929;16,633;16,633;16,341;15,764;15,764;15,764;16,051;16,051;16,051;17,227;19,070;25,544;27,408;28,948;29,340;28,173;30,132;25,179;25,911;28,173;31,747;28,948;31,339;38,192;43,787;38,192;30,532;33,406;37,743;---;15,764;25,366;43,787
  10/1935;56,705;84,282;80,942;78,972;65,278;51,858;41,878;37,743;50,811;58,931;52,916;43,306;45,739;58,370;50,811;44,758;42,827;40,941;34,679;31,339;29,340;40,013;45,739;41,878;45,739;55,065;56,156;50,811;48,749;41,878;39,097;29,340;49,921;84,282
  11/1935;35,109;32,158;30,132;28,173;27,030;26,654;27,030;26,654;25,179;24,817;24,457;24,817;25,911;25,179;24,457;23,046;22,357;21,678;21,010;19,706;19,070;20,353;21,010;21,010;20,353;19,706;20,028;21,010;21,010;21,343;---;19,070;24,015;35,109
  12/1935;21,678;23,046;23,046;21,678;20,680;19,387;18,756;18,445;22,357;29,340;40,013;48,749;43,787;36,414;33,406;28,948;29,735;32,571;34,679;35,109;31,339;27,789;25,179;24,457;22,357;21,010;23,395;25,179;34,679;43,306;68,880;18,445;29,980;68,880
  01/1936;78,320;73,208;61,775;55,065;53,985;52,916;55,065;49,775;43,787;37,297;33,828;34,679;42,827;50,291;42,352;35,541;33,828;33,406;39,554;48,749;55,609;49,261;40,013;35,109;32,571;30,132;29,340;27,789;26,654;25,911;26,281;25,911;43,062;78,320
  02/1936;25,911;24,457;27,030;28,173;28,559;29,735;62,932;70,103;65,872;62,932;46,732;40,013;34,679;32,158;29,735;28,948;27,408;31,339;32,158;32,158;35,109;39,554;60,629;55,065;60,629;71,337;66,468;58,370;54,524;---;---;24,457;43,542;71,337
  03/1936;58,370;64,099;65,278;60,060;56,705;58,370;92,581;116,666;113,499;112,714;111,933;103,516;87,004;72,582;71,337;87,004;99,801;96,880;94,718;89,075;81,605;74,470;66,468;64,099;67,067;62,932;57,258;54,524;58,931;60,629;62,932;54,524;78,165;116,666
  04/1936;59,494;57,258;51,858;49,261;48,749;47,735;46,234;45,739;43,787;41,878;40,941;42,827;40,013;39,097;40,941;39,097;37,743;37,297;36,414;35,541;36,414;37,297;40,941;47,735;45,739;40,941;37,743;36,414;35,541;33,828;---;33,828;42,483;59,494
  05/1936;36,854;38,192;36,414;35,541;33,828;33,828;32,988;32,158;31,747;31,339;30,532;30,132;29,735;29,735;29,340;28,948;28,948;28,948;28,173;28,173;27,789;27,408;27,408;27,030;26,654;26,281;25,911;25,911;25,544;25,179;25,179;25,179;29,866;38,192
  06/1936;25,179;24,817;24,817;24,457;24,457;24,100;23,746;23,746;23,395;23,046;22,700;22,700;22,700;23,046;24,457;23,395;22,700;22,357;22,016;21,678;21,678;24,457;22,357;21,678;21,678;21,343;21,010;21,343;22,357;20,680;---;20,680;22,936;25,179
  07/1936;21,010;21,010;20,353;20,353;20,353;21,678;19,706;19,706;19,387;19,070;19,706;20,028;21,010;21,678;26,654;31,339;29,735;25,179;23,746;22,700;21,343;20,353;20,353;19,706;19,070;19,706;19,070;18,137;18,445;19,387;19,070;18,137;21,259;31,339
